customer_id,gender,age,married,number_of_dependents,city,zip_code,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,churn_category,churn_reason
0002-ORFBO,Female,37,Yes,0,"Frazier Park",93225,34.82766200,-118.99907300,2,9,None,Yes,42.39,No,Yes,Cable,16.00,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Credit Card",65.60,593.30,0.00,0.00,381.51,974.81,Stayed,,
0003-MKNFE,Male,46,No,0,Glendale,91206,34.16251500,-118.20386900,0,9,None,Yes,10.69,Yes,Yes,Cable,10.00,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,"Credit Card",-4.00,542.40,38.33,10.00,96.21,610.28,Stayed,,
0004-TLHLJ,Male,50,No,0,"Costa Mesa",92627,33.64567200,-117.92261300,0,4,"Offer E",Yes,33.65,No,Yes,"Fiber Optic",30.00,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.90,280.85,0.00,0.00,134.60,415.45,Churned,Competitor,"Competitor had better devices"
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.01445700,-122.11543200,1,13,"Offer D",Yes,27.82,No,Yes,"Fiber Optic",4.00,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.00,1237.85,0.00,0.00,361.66,1599.51,Churned,Dissatisfaction,"Product dissatisfaction"
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.22784600,-119.07990300,3,3,None,Yes,7.38,No,Yes,"Fiber Optic",11.00,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",83.90,267.40,0.00,0.00,22.14,289.54,Churned,Dissatisfaction,"Network reliability"
0013-MHZWF,Female,23,No,3,Midpines,95345,37.58149600,-119.97276200,0,9,"Offer E",Yes,16.77,No,Yes,Cable,73.00,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",69.40,571.45,0.00,0.00,150.93,722.38,Stayed,,
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.75747700,-120.55050700,1,71,"Offer A",Yes,9.96,No,Yes,"Fiber Optic",14.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",109.70,7904.25,0.00,0.00,707.16,8611.41,Stayed,,
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.48978900,-122.27011000,8,63,"Offer B",Yes,12.96,Yes,Yes,"Fiber Optic",7.00,Yes,No,No,Yes,No,No,No,No,"Two Year",Yes,"Credit Card",84.65,5377.80,0.00,20.00,816.48,6214.28,Stayed,,
0015-UOCOJ,Female,68,No,0,"Simi Valley",93063,34.29681300,-118.68570300,0,7,"Offer E",Yes,10.53,No,Yes,DSL,21.00,Yes,No,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",48.20,340.35,0.00,0.00,73.71,414.06,Stayed,,
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.98475600,-121.34507400,3,65,None,Yes,28.46,Yes,Yes,Cable,14.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",90.45,5957.90,0.00,0.00,1849.90,7807.80,Stayed,,
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.37854100,-122.02045600,2,72,None,Yes,16.01,Yes,Yes,"Fiber Optic",59.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",116.80,8456.75,0.00,0.00,1152.72,9609.47,Stayed,,
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.71549800,-121.36341100,0,5,None,Yes,18.65,No,Yes,"Fiber Optic",10.00,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",68.95,351.50,0.00,0.00,93.25,444.75,Stayed,,
0019-EFAEP,Female,32,No,0,"La Mesa",91942,32.78250100,-117.01611000,0,72,"Offer A",Yes,2.25,Yes,Yes,"Fiber Optic",16.00,Yes,Yes,Yes,No,Yes,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",101.30,7261.25,0.00,0.00,162.00,7423.25,Stayed,,
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.46463500,-119.09434800,9,71,"Offer A",Yes,27.26,Yes,Yes,"Fiber Optic",12.00,No,Yes,Yes,No,No,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",95.75,6849.40,0.00,0.00,1935.46,8784.86,Stayed,,
0021-IKXGC,Female,72,No,0,"San Marcos",92078,33.11902800,-117.16603600,0,1,"Offer E",Yes,7.77,Yes,Yes,"Fiber Optic",22.00,No,No,No,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",72.10,72.10,0.00,0.00,7.77,79.87,Joined,,
0022-TCJCI,Male,79,No,0,"Daly City",94015,37.68084400,-122.48131000,0,45,None,Yes,10.67,No,Yes,DSL,17.00,Yes,No,Yes,No,No,Yes,No,Yes,"One Year",No,"Credit Card",62.70,2791.50,0.00,0.00,480.15,3271.65,Churned,Dissatisfaction,"Limited range of services"
